survey_id,account_id,account_name,industry,los,relationship_score,trust_score,recommend_score,comment_text,survey_sent_date,survey_completed_date,respondent_role,insert_ts
4a851b98-b5bd-4b64-92ab-f47e160f2877,A1292,Client_136,Tech,Audit,9,8,8,Excellent relationship with leadership,2024-08-21,2024-03-14,Manager,2025-12-19 08:13:39.142691
7b5307fe-a3b2-4b96-8a6d-f7a495278b19,A1817,Client_186,Tech,Audit,8,7,1,Strong collaboration and trust,2023-04-23,2023-06-06,Manager,2025-12-19 08:13:39.142703
4c93d19e-29c1-447f-a086-cfd079ec4edb,A1327,Client_406,Energy,Advisory,4,7,6,Overall satisfied,2024-04-24,2024-06-25,Director,2025-12-19 08:13:39.142716
bc0260cf-41cf-4101-94a7-baf13ba4c4df,A2988,Client_284,Banking,Advisory,9,4,10,Overall satisfied,2023-10-01,2024-10-18,Director,2025-12-19 08:13:39.142727
97ea689f-a5a7-4429-9b14-40f55227e591,A1228,Client_151,Energy,Audit,7,4,4,Overall satisfied,2023-07-02,2024-06-03,CXO,2025-12-19 08:13:39.142740
334d5329-d979-4f64-bc71-7f726b27feca,A2782,Client_321,Pharma,Advisory,8,8,3,Good delivery but slow communication,2024-01-18,2023-06-15,Manager,2025-12-19 08:13:39.142752
4e133e36-c913-41ac-8a4d-5e4772441e18,A2952,Client_399,Retail,Audit,8,6,7,Strong collaboration and trust,2023-04-25,2024-01-07,Director,2025-12-19 08:13:39.142767
980d91bf-7b7e-411c-bd06-f220851bc9b2,A1490,Client_30,Tech,Advisory,4,4,7,Strong collaboration and trust,2024-06-29,2023-05-09,CXO,2025-12-19 08:13:39.142780
f99d476b-e5ad-45d9-845c-9fcad409d03b,A2351,Client_244,Retail,Audit,6,8,9,Needs improvement in turnaround time,2023-08-05,2024-07-06,Manager,2025-12-19 08:13:39.142793
216a992d-9cfa-49eb-9a85-2b514cc63de6,A2412,Client_103,Pharma,Tax,9,9,5,Needs improvement in turnaround time,2024-06-13,2024-04-07,CXO,2025-12-19 08:13:39.142805
ca200d8e-f813-4dab-b77d-e89b8b94bd86,A1507,Client_116,Banking,Tax,4,8,8,Good delivery but slow communication,2024-08-25,2023-08-14,CXO,2025-12-19 08:13:39.142816
3013a8f2-c87d-4c4a-bf81-97665331b5c4,A1145,Client_363,Banking,Audit,4,4,5,Strong collaboration and trust,2024-06-10,2023-09-01,Director,2025-12-19 08:13:39.142827
0963a515-993e-4292-987a-9552b74e91e9,A2370,Client_249,Tech,Advisory,5,9,9,Overall satisfied,2024-04-29,2023-09-06,Director,2025-12-19 08:13:39.142839
22d6037c-b472-48a1-a55e-8c8622c2b586,A2653,Client_209,Tech,Audit,4,9,6,Excellent relationship with leadership,2024-03-09,2024-02-25,Director,2025-12-19 08:13:39.142851
b6ce64ed-7492-4096-b209-d3f0a6a40ca7,A2769,Client_374,Banking,Advisory,9,9,1,Strong collaboration and trust,2024-02-17,2023-12-14,CXO,2025-12-19 08:13:39.142863
a3557cc3-ddb0-4407-9f31-86ac8e012de0,A1509,Client_99,Tech,Advisory,7,5,6,Good delivery but slow communication,2023-10-13,2024-04-18,CXO,2025-12-19 08:13:39.142878
a7cfa10e-9774-404b-b615-3165f624db04,A2790,Client_473,Banking,Tax,10,10,8,Strong collaboration and trust,2023-02-21,2024-10-29,Manager,2025-12-19 08:13:39.142890
b975a408-95c8-4676-9e55-7db11127eeac,A2712,Client_8,Banking,Audit,5,7,7,Needs improvement in turnaround time,2023-08-07,2024-02-15,CXO,2025-12-19 08:13:39.142901
58004084-8d0e-4694-ad0d-cc28a9785711,A1337,Client_195,Banking,Tax,6,10,7,Excellent relationship with leadership,2024-03-09,2024-12-14,Manager,2025-12-19 08:13:39.142913
0cbcecc8-172b-43cd-b948-d3551d5ea467,A2604,Client_285,Energy,Audit,5,6,3,Strong collaboration and trust,2024-08-16,2024-07-09,CXO,2025-12-19 08:13:39.142925
ed63bb99-9fc7-4f93-95e7-bfb8e21a2400,A2531,Client_161,Banking,Audit,8,7,8,Overall satisfied,2023-06-11,2023-02-28,Manager,2025-12-19 08:13:39.142936
a5466021-d755-4901-896e-ca13be06ef13,A1164,Client_436,Tech,Audit,8,4,10,Good delivery but slow communication,2024-02-18,2023-05-03,Manager,2025-12-19 08:13:39.142948
55ab09e3-f722-4a03-a55c-760db0aa2712,A1504,Client_297,Retail,Audit,8,4,6,Overall satisfied,2024-08-01,2024-06-19,Director,2025-12-19 08:13:39.142960
f9b1c5f8-936a-4ded-b305-3c298e76b720,A2914,Client_134,Tech,Advisory,9,6,3,Excellent relationship with leadership,2024-02-10,2023-05-15,Manager,2025-12-19 08:13:39.142971
63fb2458-840c-4311-837c-72c8cbc69f8b,A2321,Client_154,Energy,Tax,10,4,0,Needs improvement in turnaround time,2024-09-28,2024-07-30,CXO,2025-12-19 08:13:39.142986
27531768-bffa-4e45-85bf-62c8f6f87396,A1150,Client_276,Tech,Advisory,6,5,5,Strong collaboration and trust,2023-09-08,2024-01-14,Director,2025-12-19 08:13:39.142997
d443a792-734f-4495-9dc4-d1a6782c26f9,A1323,Client_225,Retail,Advisory,6,8,10,Overall satisfied,2023-01-09,2024-11-14,Manager,2025-12-19 08:13:39.143009
77bf918a-020b-406d-a5dc-e7449f53d922,A1613,Client_478,Banking,Audit,6,4,1,Overall satisfied,2023-06-09,2023-10-06,Director,2025-12-19 08:13:39.143020
5bc0244f-93c3-45d1-85cd-cee26e501a0b,A2238,Client_108,Pharma,Audit,9,9,4,Overall satisfied,2024-05-15,2023-09-15,CXO,2025-12-19 08:13:39.143031
9ebf8de4-5ff5-44d2-8f8b-14cba3cad120,A1189,Client_325,Energy,Tax,4,4,5,Good delivery but slow communication,2024-10-14,2023-09-26,CXO,2025-12-19 08:13:39.143043
3565e858-7e01-4d7b-a1d2-c5079a9ce85a,A2518,Client_227,Retail,Advisory,7,8,0,Strong collaboration and trust,2023-03-19,2024-12-08,CXO,2025-12-19 08:13:39.143056
8d8410a7-6e27-4121-a227-657601fcf2b0,A2117,Client_19,Pharma,Advisory,8,5,6,Good delivery but slow communication,2023-02-12,2023-11-12,Director,2025-12-19 08:13:39.143069
eddcd714-2304-4e2c-a66a-3a977bd21c1d,A2841,Client_478,Banking,Tax,5,9,3,Strong collaboration and trust,2023-12-29,2024-07-27,Director,2025-12-19 08:13:39.143082
2047808f-db62-4788-b951-503c22ced2f3,A2994,Client_318,Tech,Audit,10,5,2,Needs improvement in turnaround time,2023-01-26,2023-07-03,Manager,2025-12-19 08:13:39.143094
28bd0655-27e6-41a5-a451-b7a6d9cd9eb6,A2893,Client_171,Energy,Advisory,10,9,3,Excellent relationship with leadership,2023-06-13,2024-12-19,CXO,2025-12-19 08:13:39.143106
0cb08067-0062-4bab-ad15-522dc3369f7b,A1783,Client_447,Banking,Tax,5,5,7,Excellent relationship with leadership,2023-11-09,2023-08-22,CXO,2025-12-19 08:13:39.143118
4c9571b5-8f87-480a-b204-5a3ccbe0c8a5,A1048,Client_338,Tech,Tax,6,6,1,Excellent relationship with leadership,2023-12-26,2024-10-18,Manager,2025-12-19 08:13:39.143129
f7ab722c-e296-4582-9403-6f6341276ca2,A1818,Client_348,Retail,Tax,4,4,4,Good delivery but slow communication,2024-08-17,2023-09-29,CXO,2025-12-19 08:13:39.143141
77b777ab-20ef-4cfb-ac1d-1cd9c545dd53,A1222,Client_306,Energy,Tax,9,10,5,Needs improvement in turnaround time,2024-09-12,2024-06-07,CXO,2025-12-19 08:13:39.143152
8f20eeb1-361f-424c-a45a-7be358f80953,A1788,Client_461,Retail,Audit,6,4,6,Strong collaboration and trust,2024-06-16,2024-07-05,Manager,2025-12-19 08:13:39.143166
fa2af8a4-4d96-4821-ab94-44d7b2bcdfc2,A2473,Client_482,Tech,Tax,7,4,10,Excellent relationship with leadership,2024-09-30,2023-11-18,Manager,2025-12-19 08:13:39.143177
ecc0186d-5694-4221-94dd-84224a5f9060,A2736,Client_64,Pharma,Advisory,6,9,6,Excellent relationship with leadership,2024-02-17,2024-12-14,Director,2025-12-19 08:13:39.143191
66d7acaa-44dc-4d70-8eda-72d5d88af236,A2135,Client_66,Tech,Tax,9,7,10,Good delivery but slow communication,2024-09-22,2024-08-05,Director,2025-12-19 08:13:39.143204
9a9ea89c-79bd-4ce9-9cf7-45ecf34dbf6d,A1831,Client_281,Banking,Tax,6,5,6,Overall satisfied,2024-09-13,2024-11-01,Director,2025-12-19 08:13:39.143216
8299b92f-b081-4663-a1b6-476893d3f7e1,A1952,Client_227,Energy,Advisory,5,8,7,Good delivery but slow communication,2024-11-05,2023-03-28,Director,2025-12-19 08:13:39.143228
edeb7e8c-2ae3-44c4-934e-cb98df86c092,A2055,Client_340,Retail,Tax,4,10,3,Excellent relationship with leadership,2023-08-19,2023-07-23,CXO,2025-12-19 08:13:39.143240
9f84e910-3df6-4f19-a88c-7bbfa75d8a0b,A1050,Client_24,Tech,Tax,8,10,1,Needs improvement in turnaround time,2024-02-29,2024-10-06,Manager,2025-12-19 08:13:39.143251
23c980aa-77a4-401c-81b0-62699cbcc390,A1398,Client_368,Energy,Tax,7,5,2,Strong collaboration and trust,2023-04-20,2024-03-11,CXO,2025-12-19 08:13:39.143262
0dea0a41-d99d-447e-a4d3-2740f2972c0e,A1360,Client_412,Retail,Tax,4,8,3,Strong collaboration and trust,2024-04-12,2023-05-17,Director,2025-12-19 08:13:39.143275
89b23eee-df33-46b0-b5f3-76134950dc54,A2367,Client_272,Retail,Advisory,6,10,7,Overall satisfied,2024-05-31,2024-03-12,Manager,2025-12-19 08:13:39.143287
e30cfd75-a25b-4333-87b3-478ad9291560,A1913,Client_460,Tech,Advisory,10,7,7,Excellent relationship with leadership,2023-09-11,2024-10-14,Director,2025-12-19 08:13:39.143299
84bffd34-d320-47d0-82ce-686d9fbc292e,A2568,Client_399,Retail,Tax,9,5,4,Needs improvement in turnaround time,2023-03-21,2024-12-31,Director,2025-12-19 08:13:39.143313
dc6394e2-d358-4cdf-8480-af015310e4d6,A1480,Client_140,Pharma,Tax,8,4,2,Good delivery but slow communication,2023-08-25,2024-01-28,Manager,2025-12-19 08:13:39.143325
f6a73b71-944c-4142-b8e5-024bc1a30ba5,A1312,Client_362,Tech,Audit,7,7,5,Overall satisfied,2024-04-22,2024-03-01,CXO,2025-12-19 08:13:39.143336
680f246b-be33-4c03-ad1f-db5b1c562e84,A1423,Client_427,Energy,Tax,10,8,0,Overall satisfied,2024-01-25,2024-05-03,CXO,2025-12-19 08:13:39.143348
749e02f0-4966-4ca1-841e-146e98405aa5,A2930,Client_181,Pharma,Tax,10,10,6,Overall satisfied,2024-07-13,2024-09-09,CXO,2025-12-19 08:13:39.143360
d46b06ba-4c4e-4d27-a7a6-2dc89c7fb55d,A1999,Client_113,Pharma,Tax,7,4,6,Excellent relationship with leadership,2024-11-15,2024-11-26,Director,2025-12-19 08:13:39.143372
aed24edc-0a83-4c48-a54e-50c4090a743e,A2483,Client_85,Energy,Audit,8,8,0,Needs improvement in turnaround time,2024-08-29,2024-07-31,Manager,2025-12-19 08:13:39.143385
952c64f8-bde8-4e7b-8d00-3624722319e3,A1055,Client_43,Energy,Audit,10,7,2,Strong collaboration and trust,2023-09-24,2024-01-24,Director,2025-12-19 08:13:39.143399
8ec13fc0-d8b6-4652-88c6-4b777a1216b1,A1433,Client_233,Pharma,Tax,10,7,4,Needs improvement in turnaround time,2023-09-16,2023-03-25,Director,2025-12-19 08:13:39.143411
de6a7322-d02e-410a-a59e-75f9e641a893,A1039,Client_384,Retail,Audit,6,5,10,Strong collaboration and trust,2024-10-29,2023-02-11,CXO,2025-12-19 08:13:39.143422
d97c939f-185a-4b26-81a1-53fb0ac7556a,A2944,Client_127,Tech,Audit,8,5,3,Good delivery but slow communication,2024-04-29,2024-11-16,CXO,2025-12-19 08:13:39.143437
78033569-848d-46ae-bbf6-bd9b76ad2d91,A2155,Client_486,Tech,Tax,9,6,5,Good delivery but slow communication,2024-09-12,2024-09-13,Manager,2025-12-19 08:13:39.143447
cd86926c-07fa-4138-827b-86d6528c7b10,A2471,Client_59,Tech,Tax,4,8,0,Excellent relationship with leadership,2024-08-12,2024-11-24,Director,2025-12-19 08:13:39.143458
829e897d-7301-495e-9f1e-9a5e2595dacb,A1812,Client_483,Tech,Audit,8,9,10,Good delivery but slow communication,2023-04-15,2024-12-14,Director,2025-12-19 08:13:39.143469
ca980c20-5b23-43fb-8de3-c77492951c98,A2741,Client_351,Retail,Audit,10,8,0,Excellent relationship with leadership,2024-06-29,2024-03-14,Manager,2025-12-19 08:13:39.143479
393d0061-146c-4192-9b42-c81dd4e66e92,A1758,Client_36,Retail,Advisory,6,4,6,Needs improvement in turnaround time,2023-04-19,2024-03-19,Director,2025-12-19 08:13:39.143490
fb75a466-4389-4c7f-b020-b48c3d194fca,A2301,Client_457,Energy,Advisory,5,7,2,Overall satisfied,2024-10-28,2023-10-04,Manager,2025-12-19 08:13:39.143502
26f299d3-3d74-4553-af64-37464d933450,A2655,Client_471,Retail,Tax,7,7,9,Excellent relationship with leadership,2023-11-27,2023-09-09,CXO,2025-12-19 08:13:39.143513
68fd3a85-39de-4903-aa8f-9fb3fea660e9,A1571,Client_452,Energy,Audit,10,7,9,Overall satisfied,2024-11-15,2024-01-24,Director,2025-12-19 08:13:39.143524
eae58a0f-e322-4418-8700-4fc5a41d1f11,A1058,Client_254,Pharma,Audit,7,5,5,Excellent relationship with leadership,2023-12-15,2023-10-14,Manager,2025-12-19 08:13:39.143538
7ffa0b5f-ffe3-4b09-b1f2-9acb9c1fa2f0,A2436,Client_451,Pharma,Advisory,4,8,3,Strong collaboration and trust,2023-09-05,2024-02-21,Director,2025-12-19 08:13:39.143549
c3d8c72c-b23c-4d38-8265-912c7d764181,A2137,Client_389,Tech,Advisory,7,9,7,Needs improvement in turnaround time,2023-01-18,2023-04-06,Director,2025-12-19 08:13:39.143568
52ae5330-0a00-4435-8dfc-6c295477ee96,A1453,Client_208,Tech,Tax,9,8,5,Needs improvement in turnaround time,2024-07-20,2024-06-27,Director,2025-12-19 08:13:39.143605
1f3bb534-affe-4590-993f-0704b44ef5d4,A1871,Client_382,Retail,Tax,6,9,7,Excellent relationship with leadership,2023-11-10,2023-09-15,CXO,2025-12-19 08:13:39.143616
82c4990c-4b03-4e0c-8ce0-7a6401b97dd3,A1247,Client_370,Tech,Tax,4,9,8,Good delivery but slow communication,2023-07-16,2023-08-10,Manager,2025-12-19 08:13:39.143627
65fe97d0-d358-4ab8-8abd-a30e788c43d3,A1991,Client_142,Retail,Advisory,8,6,1,Good delivery but slow communication,2023-10-31,2023-08-21,Director,2025-12-19 08:13:39.143638
3f27090b-4f25-410f-bc65-c364b917ffcf,A1367,Client_155,Banking,Advisory,8,5,4,Strong collaboration and trust,2023-02-25,2024-07-20,Director,2025-12-19 08:13:39.143653
36338cf2-b411-4bbc-a71c-39c89564523b,A2428,Client_484,Tech,Advisory,10,10,7,Strong collaboration and trust,2023-01-13,2024-08-10,Director,2025-12-19 08:13:39.143664
ca773495-c5b2-431c-8e5c-c1c0d5ff322c,A1961,Client_246,Energy,Tax,5,4,4,Needs improvement in turnaround time,2023-04-27,2023-03-08,Director,2025-12-19 08:13:39.143677
ef1c73b4-1c1c-44bd-8999-2b372e930e50,A2007,Client_38,Retail,Advisory,9,4,2,Good delivery but slow communication,2024-07-30,2023-11-08,CXO,2025-12-19 08:13:39.143690
91e81921-831d-4758-999d-f32b800e98da,A1508,Client_61,Retail,Tax,8,8,9,Good delivery but slow communication,2024-06-19,2024-01-25,Director,2025-12-19 08:13:39.143701
44e4c9ae-fa25-4d49-b7e5-8ce7903e02d0,A2860,Client_227,Pharma,Advisory,7,6,9,Overall satisfied,2023-03-03,2024-09-16,Manager,2025-12-19 08:13:39.143714
9f9d9323-e675-4ee3-bb47-aaac0530b36c,A1203,Client_486,Tech,Advisory,5,6,10,Strong collaboration and trust,2023-06-10,2023-09-03,CXO,2025-12-19 08:13:39.143725
e2928bd7-24ef-428a-aa35-2806702ada16,A2130,Client_39,Tech,Audit,7,7,9,Needs improvement in turnaround time,2023-10-26,2023-02-03,CXO,2025-12-19 08:13:39.143735
17fceb34-b287-41f4-a80a-d086948fcbdd,A1590,Client_362,Pharma,Advisory,10,7,1,Good delivery but slow communication,2023-09-28,2024-10-02,Manager,2025-12-19 08:13:39.143747
054ff693-2eb2-4165-875b-4d39a332350e,A2354,Client_412,Tech,Tax,4,8,3,Good delivery but slow communication,2023-09-30,2023-05-26,CXO,2025-12-19 08:13:39.143759
59d2423c-fe04-4167-9511-3e77bc392ce1,A1122,Client_85,Pharma,Advisory,9,10,9,Excellent relationship with leadership,2024-03-25,2023-05-08,Director,2025-12-19 08:13:39.143770
707d19a9-195b-4fe1-8bf5-3042d6ce21ea,A2410,Client_156,Energy,Tax,8,8,7,Needs improvement in turnaround time,2023-03-24,2024-09-04,CXO,2025-12-19 08:13:39.143784
efc2fbe1-d80e-4dfe-b62c-71fddc6987c1,A2821,Client_222,Pharma,Advisory,6,4,1,Good delivery but slow communication,2024-11-21,2024-08-12,Manager,2025-12-19 08:13:39.143795
b92a890f-e2ed-4f65-b092-9be3219d5943,A2947,Client_11,Pharma,Advisory,4,10,2,Needs improvement in turnaround time,2024-06-15,2024-10-29,Director,2025-12-19 08:13:39.143806
22ff6061-566a-4016-8ce3-add9af81ae15,A2876,Client_143,Tech,Advisory,7,9,7,Strong collaboration and trust,2024-04-26,2023-12-23,Director,2025-12-19 08:13:39.143817
48689f63-89bc-471e-8d83-665d82fe917a,A1682,Client_165,Banking,Audit,6,7,7,Excellent relationship with leadership,2024-11-09,2024-02-15,Manager,2025-12-19 08:13:39.143828
043fbc2a-ae1a-4143-bcf1-426da7e6b058,A1075,Client_233,Banking,Tax,6,6,1,Needs improvement in turnaround time,2024-06-10,2023-01-02,Manager,2025-12-19 08:13:39.143840
b519a020-3e6a-4fcb-bd0a-123db9f3004f,A2780,Client_278,Energy,Tax,4,5,8,Excellent relationship with leadership,2024-09-29,2024-05-25,Manager,2025-12-19 08:13:39.143851
b92014e4-8f5a-48f7-bd34-242ebab00a5e,A1905,Client_390,Banking,Audit,6,8,2,Excellent relationship with leadership,2024-03-24,2024-12-16,Director,2025-12-19 08:13:39.143863
031ccb16-4519-4b5f-8b20-0de8a00d0228,A1248,Client_15,Retail,Audit,9,5,4,Overall satisfied,2023-01-15,2024-07-19,Director,2025-12-19 08:13:39.143874
3bf56e91-c1d4-4292-bd18-b763a49fc4ec,A1190,Client_116,Banking,Tax,4,9,2,Needs improvement in turnaround time,2023-10-26,2024-06-05,Manager,2025-12-19 08:13:39.143889
169ddfec-2e83-4156-b3e1-9f0e8dc414dc,A1559,Client_213,Energy,Tax,5,7,8,Good delivery but slow communication,2024-01-28,2023-07-15,Manager,2025-12-19 08:13:39.143900
21cbef97-6913-4ff5-a2ce-860e8ad65d94,A2040,Client_383,Tech,Audit,6,10,6,Excellent relationship with leadership,2024-06-03,2023-10-01,CXO,2025-12-19 08:13:39.143912
c345ee84-5b6d-448d-a9a0-a20f2bde8ff0,A1579,Client_372,Pharma,Advisory,8,9,7,Good delivery but slow communication,2024-04-02,2024-07-05,Director,2025-12-19 08:13:39.143925
48b01497-16a9-421d-8651-08bf40a788c7,A1706,Client_171,Retail,Advisory,7,7,5,Good delivery but slow communication,2024-12-15,2023-09-02,Manager,2025-12-19 08:13:39.143938
52b05842-a8d1-44b0-bfcb-3cb7081dc6ce,A1784,Client_120,Energy,Audit,6,9,7,Needs improvement in turnaround time,2024-01-31,2024-11-10,Manager,2025-12-19 08:13:39.143950
e08dbded-b522-46f0-bfad-766fc640a7c0,A1311,Client_254,Banking,Audit,8,8,5,Strong collaboration and trust,2024-03-26,2023-04-13,Manager,2025-12-19 08:13:39.143963
f8bc1e8f-127c-4a8f-aece-70a508c34b7a,A2864,Client_234,Banking,Advisory,5,7,10,Good delivery but slow communication,2023-03-18,2024-04-25,Director,2025-12-19 08:13:39.143975
d2e8d9eb-f6f8-47f9-8357-4590b1be5d6c,A1693,Client_320,Energy,Advisory,4,10,5,Overall satisfied,2024-01-25,2023-11-21,Manager,2025-12-19 08:13:39.143987
d9437793-064f-494a-a14f-cf699ab9356a,A2471,Client_455,Energy,Advisory,4,8,1,Good delivery but slow communication,2024-10-08,2024-12-01,Director,2025-12-19 08:13:39.144001
ced1077f-c46c-47f3-8c88-c4128cf0ded6,A1465,Client_383,Banking,Tax,4,10,10,Strong collaboration and trust,2024-03-30,2023-06-20,Manager,2025-12-19 08:13:39.144011
af640ec9-1e38-4d7a-b691-506218459f1d,A1613,Client_463,Banking,Audit,6,10,0,Excellent relationship with leadership,2024-01-03,2024-01-19,Director,2025-12-19 08:13:39.144023
185f9011-18e7-454d-bf83-03b80f474028,A1298,Client_126,Retail,Tax,8,9,2,Good delivery but slow communication,2023-06-29,2023-03-22,Manager,2025-12-19 08:13:39.144034
3995378f-9ce4-421b-8084-e9f992a8e1b0,A2783,Client_196,Retail,Advisory,5,7,9,Good delivery but slow communication,2023-08-26,2024-04-17,Manager,2025-12-19 08:13:39.144045
1ae31226-db37-42b0-9b25-9f02d23cd3d1,A1520,Client_236,Pharma,Advisory,4,10,7,Excellent relationship with leadership,2024-11-24,2024-07-13,CXO,2025-12-19 08:13:39.144056
b888db0b-2f6a-4af4-9bf3-78ca909fb04b,A1151,Client_227,Pharma,Advisory,6,9,6,Excellent relationship with leadership,2024-04-12,2023-11-06,CXO,2025-12-19 08:13:39.144067
b86aa15f-9859-40e5-87e7-9a578001464d,A1787,Client_437,Energy,Audit,5,7,9,Excellent relationship with leadership,2024-08-11,2023-10-30,Manager,2025-12-19 08:13:39.144078
c48de40e-d196-4d51-8749-10350b738251,A1604,Client_12,Energy,Tax,4,8,10,Strong collaboration and trust,2024-09-12,2024-05-23,Director,2025-12-19 08:13:39.144089
340d89ce-23be-4a3b-aef7-1060505f0a57,A2588,Client_410,Tech,Advisory,10,6,3,Good delivery but slow communication,2024-09-27,2023-09-14,Manager,2025-12-19 08:13:39.144104
5abd0953-11a3-4648-a3f8-346a72dd20a2,A2547,Client_370,Tech,Advisory,4,9,10,Strong collaboration and trust,2023-11-13,2024-03-27,CXO,2025-12-19 08:13:39.144116
eb0d09d4-0afa-4f5d-b614-9bd40784e308,A2186,Client_187,Tech,Audit,6,6,6,Good delivery but slow communication,2023-07-25,2023-05-16,Manager,2025-12-19 08:13:39.144127
5ee5842a-d82f-4233-8920-292c0d9a7103,A2794,Client_498,Pharma,Advisory,8,6,2,Excellent relationship with leadership,2024-05-08,2023-10-30,Manager,2025-12-19 08:13:39.144139
ee755653-865d-4326-a243-929d997d1f38,A2782,Client_174,Banking,Tax,4,5,3,Needs improvement in turnaround time,2024-07-24,2024-01-10,CXO,2025-12-19 08:13:39.144151
1c0ac9b7-a686-4706-851b-c323a909e6c1,A2619,Client_203,Banking,Tax,8,4,7,Excellent relationship with leadership,2024-11-19,2024-11-19,Director,2025-12-19 08:13:39.144162
f8ca0a87-4c4d-40eb-ab57-ec632e9e1e83,A2197,Client_196,Pharma,Audit,9,5,7,Strong collaboration and trust,2024-09-26,2024-07-28,Director,2025-12-19 08:13:39.144179
4d64cfa6-e1fc-4855-b66a-01c8015e9e0d,A2874,Client_313,Tech,Advisory,4,9,7,Excellent relationship with leadership,2024-10-26,2024-02-23,CXO,2025-12-19 08:13:39.144192
e028c1e9-b7bd-43d1-a715-028d6e8302b9,A1286,Client_24,Banking,Tax,7,4,1,Good delivery but slow communication,2024-07-04,2023-05-19,Director,2025-12-19 08:13:39.144205
cb4d0e09-1d9d-483f-a9f0-bf592faa1656,A1929,Client_190,Retail,Tax,8,9,2,Needs improvement in turnaround time,2024-11-01,2023-04-12,Director,2025-12-19 08:13:39.144215
29cba24c-dede-4a50-9f19-6415023a0179,A2260,Client_209,Pharma,Audit,9,6,3,Needs improvement in turnaround time,2024-03-31,2023-08-30,Director,2025-12-19 08:13:39.144232
f5dd3d9a-4632-465a-95f6-ff538ced48fc,A1203,Client_352,Pharma,Advisory,9,6,0,Needs improvement in turnaround time,2023-10-10,2023-07-14,CXO,2025-12-19 08:13:39.144243
2ff25e69-f90c-45f5-8ad6-da267a3bf1ef,A2943,Client_435,Energy,Audit,9,5,10,Overall satisfied,2023-01-22,2023-02-21,Director,2025-12-19 08:13:39.144254
9213d326-8765-4fdf-bc0b-cf1cb411ec68,A1498,Client_65,Retail,Audit,4,10,8,Good delivery but slow communication,2024-08-23,2023-08-10,CXO,2025-12-19 08:13:39.144266
a057e775-70f8-449b-92a9-ff74a0697510,A1672,Client_397,Tech,Advisory,4,6,2,Good delivery but slow communication,2024-07-07,2023-09-14,CXO,2025-12-19 08:13:39.144277
3893cba7-6b0f-4bc7-829b-1a527e97a76d,A1225,Client_339,Banking,Audit,4,6,3,Overall satisfied,2023-11-28,2023-01-17,CXO,2025-12-19 08:13:39.144288
e6f55b0b-76fa-4593-8896-55db1e697d31,A1543,Client_27,Tech,Advisory,7,8,1,Strong collaboration and trust,2024-05-02,2024-04-04,Director,2025-12-19 08:13:39.144299
37233439-447f-46f7-8f2e-ccd652121b2a,A2051,Client_304,Banking,Tax,8,5,9,Strong collaboration and trust,2024-11-05,2024-06-17,Director,2025-12-19 08:13:39.144338
729a4ecc-34ef-4770-b55f-4232c99316d4,A1938,Client_330,Banking,Audit,7,10,6,Needs improvement in turnaround time,2024-12-03,2023-04-21,Director,2025-12-19 08:13:39.144365
